,Customer,Order Date,Customer Name,State or Province,City,Gender
0,7253,2015-01-07,Bonnie Potter,Washington,Anacortes,MALE
1,4875,2015-06-13,Ronnie Proctor,California,San Gabriel,FEMALE
2,2748,2015-02-15,Marcus Dunlap,New Jersey,Roselle,MALE
3,4565,2015-05-12,Gwendolyn F Tyson,Minnesota,Prior Lake,MALE
4,4666,2015-05-12,Gwendolyn F Tyson,Minnesota,Prior Lake,MALE
5,4663,2015-05-12,Gwendolyn F Tyson,Minnesota,Prior Lake,FEMALE
6,2583,2015-05-12,Gwendolyn F Tyson,Minnesota,Prior Lake,MALE
7,8372,2015-04-08,Timothy Reese,New York,Smithtown,MALE
8,6458,2015-05-28,Timothy Reese,New York,Smithtown,MALE
9,2834,2015-02-12,Sarah Ramsey,New York,Syracuse,FEMALE
10,8264,2015-02-12,Sarah Ramsey,New York,Syracuse,MALE
11,8363,2015-05-15,Laurie Hanna,Montana,Helena,MALE
12,4556,2015-05-21,Jim Rodgers,Montana,Missoula,MALE
13,5243,2015-05-15,Tony Wilkins Winters,New York,New York City,FEMALE
14,5654,2015-05-21,Tony Wilkins Winters,New York,New York City,MALE
15,2357,2015-05-21,Tony Wilkins Winters,New York,New York City,MALE
16,7876,2015-01-28,Edna Thomas,California,Laguna Niguel,MALE
17,5265,2015-01-28,Edna Thomas,California,Laguna Niguel,FEMALE
18,1573,2015-05-02,Guy Gallagher,California,Lakewood,MALE
19,7356,2015-02-22,Matthew Berman,Oregon,Grants Pass,MALE
20,3445,2015-03-27,Matthew Berman,Oregon,Grants Pass,MALE
21,6735,2015-01-20,Matthew Berman,Oregon,Grants Pass,FEMALE
22,8845,2015-03-12,Matthew Berman,Oregon,Grants Pass,MALE
23,4568,2015-06-15,Ricky Hensley,Oregon,Gresham,MALE
